year,month,days_present,days_in_month,coverage,tmean,tmax_mean,tmin_mean,precp_total,rain_days_1,sunshine_total,tsoil0_mean
2024,4,30,30,1.000,21.890,26.600,18.700,218.500,13.000,216.700,22.207
2024,5,31,31,1.000,22.135,26.358,19.394,230.500,16.000,249.900,23.006
2024,6,30,30,1.000,25.203,30.270,22.303,427.500,18.000,247.600,25.750
2024,7,31,31,1.000,26.755,31.574,23.448,516.000,10.000,281.900,27.316
2024,8,31,31,1.000,26.258,32.058,23.194,261.500,10.000,278.900,27.190
2024,9,30,30,1.000,25.637,29.957,23.193,660.000,17.000,244.500,26.457
2024,10,31,31,0.968,22.717,25.703,20.797,495.000,19.000,177.200,23.670
2024,11,30,30,0.900,18.652,20.848,17.004,,,,20.026
2024,12,31,31,1.000,13.890,16.197,12.074,111.000,16.000,100.200,15.483
2025,1,31,31,1.000,12.468,15.368,10.242,98.500,14.000,146.800,13.235
2025,2,28,28,1.000,13.200,16.446,10.907,211.500,13.000,131.400,14.125
2025,3,31,31,1.000,16.155,20.519,12.790,297.000,13.000,178.200,16.694
2025,4,30,30,1.000,19.667,24.160,16.230,215.500,13.000,218.000,19.717
2025,5,31,31,1.000,22.623,27.216,19.432,425.000,15.000,246.000,23.161
2025,6,30,30,1.000,25.880,30.760,22.807,142.500,15.000,275.500,
2025,7,31,31,1.000,25.874,29.755,23.387,387.500,20.000,267.700,26.657
2025,8,31,31,1.000,26.345,31.490,23.429,247.000,12.000,292.100,27.303
2025,9,30,30,1.000,26.147,30.860,23.387,261.500,11.000,253.600,26.803
2025,10,31,31,0.935,23.862,27.707,21.503,,,,24.193
2025,11,30,30,1.000,18.813,21.770,16.977,341.000,13.000,150.200,19.567
2025,12,31,31,1.000,15.906,18.674,14.097,185.000,16.000,130.500,16.897
2026,1,31,31,1.000,12.955,15.997,10.594,186.500,12.000,152.900,13.742
2026,2,28,28,1.000,15.457,19.589,12.679,82.500,9.000,159.400,15.868
2026,3,31,31,1.000,16.490,20.458,13.848,111.500,11.000,182.100,17.458
2026,4,30,30,1.000,21.013,25.630,17.927,250.500,15.000,218.900,21.590
2026,5,31,31,1.000,22.874,27.497,19.661,227.000,11.000,253.700,23.642
2026,6,30,30,1.000,24.560,28.800,21.943,817.000,18.000,220.600,25.473
2026,7,31,31,1.000,26.565,31.652,23.535,420.000,12.000,295.000,27.410
2026,8,31,31,1.000,25.890,30.577,23.355,432.500,19.000,256.200,27.100
2026,9,8,30,0.267,23.475,26.175,21.375,176.000,5.000,46.900,25.125
